duration	count
0	1
1	35
2	65
3	83
3.5	1
4	44
5	139
5.5	1
6	13
7	22
7.5	3
8	16
9	6
10	138
11	4
12	8
13	4
14	3
15	111
16	4
17	4
17.5	1
18	1
19	1
20	78
21	1
22	2
22.5	2
23	1
25	23
30	172
31	2
34	1
35	23
36	2
37	1
37.5	1
38	1
40	13
42	1
43	2
44	1
45	46
50	16
51	3
52	3
53	1
55	1
60	275
65	1
66	1
67	1
70	6
72	1
75	10
80	1
84	1
85	1
87	1
90	22
100	5
120	274
121	35
122	2
123	3
130	2
132	1
135	1
150	4
155	1
180	225
181	3
182	34
200	1
210	4
225	1
240	73
242	4
243	20
270	1
300	391
302	7
303	20
304	10
360	16
363	1
364	1
365	4
420	27
425	17
426	1
450	4
480	15
485	4
486	1
500	1
540	2
548	1
595	1
600	253
605	27
607	2
608	2
609	1
630	1
645	1
660	1
720	11
730	2
750	2
780	3
900	188
905	2
910	16
930	1
960	2
1020	2
1035	1
1050	1
1080	6
1095	1
1200	129
1210	3
1215	16
1500	21
1520	2
1800	93
